"99213","Office or other outpatient visit, established patient, moderate"
"80053","Comprehensive metabolic panel"
"81001","Urinalysis, automated, with microscopy"
"90658","Influenza vaccine, trivalent, split virus, 0.5 mL dosage"
"99395","Periodic comprehensive preventive medicine reevaluation, established patient"
"93000","Electrocardiogram, routine ECG with at least 12 leads"
"82947","Glucose; quantitative, blood (except reagent strip)"
"80061","Lipid panel"
"96372","Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular"
"90471","Immunization administration, 1 vaccine (single or combination vaccine/toxoid)"
